GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated),Acceleration Sensor(Total)(g),Acceleration Sensor(X axis)(g),Acceleration Sensor(Y axis)(g),Acceleration Sensor(Z axis)(g),Actual engine % torque(%),Air Fuel Ratio(Commanded)(:1),Average trip speed(whilst moving only)(km/h),Engine Coolant Temperature(å¡C),Engine Load(%),Engine Load(Absolute)(%),Engine RPM(rpm),Ethanol Fuel %(%),Fuel used (trip)(gal),Fuel Level (From Engine ECU)(%),Fuel Rate (direct from ECU)(L/m),Hybrid Battery Charge (%)(%),Intake Manifold Pressure(psi),Speed (OBD)(km/h),Speed (GPS)(km/h),Trip time(whilst moving)(s)
-,15:35.0,-,-,-,-,-,-,-1.17794728,2.77727389,8.84896946,-0.02798599,-0.0466604,-0.12007617,0.28310639,0.80203557,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,0
-,15:35.5,-,-,-,-,-,-,-1.17794728,2.77727389,8.84896946,-0.02798599,-0.0466604,-0.12007617,0.28310639,0.80203557,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,0
-,15:36.0,-,-,-,-,-,-,-1.17794728,2.77727389,8.84896946,-0.02798599,-0.0466604,-0.12007617,0.28310639,0.80203557,-,-,-,81,-,-,-,-,-,-,-,-,-,4,-,0
-,15:36.5,-,-,-,-,-,-,-1.17794728,2.77727389,8.84896946,-0.02798599,-0.0466604,-0.12007617,0.28310639,0.80203557,-,-,-,81,-,-,0,-,-,-,-,-,14.50377369,5,-,0
-,15:37.0,-,-,-,-,-,-,-1.17794728,2.77727389,8.84896946,-0.02798599,-0.0466604,-0.12007617,0.28310639,0.80203557,-,13.83463383,-,81,0,0,0,-,-,-,-,-,14.50377369,6,-,0
-,15:37.5,-,-,-,-,-,-,-1.17794728,2.77727389,8.84896946,-0.02798599,-0.0466604,-0.12007617,0.28310639,0.80203557,-,13.83463383,-,81,0,0,0,-,-,-,-,-,14.50377369,6,-,0
-,15:38.0,-,-,-,-,-,-,-1.17794728,2.77727389,8.84896946,-0.02798599,-0.0466604,-0.12007617,0.28310639,0.80203557,-,13.83463383,-,81,0,0,0,-,-,-,-,-,14.50377369,8,-,0
-,15:38.6,-,-,-,-,-,-,-1.17794728,2.77727389,8.84896946,-0.02798599,-0.0466604,-0.12007617,0.28310639,0.80203557,-,13.83463383,-,81,0,0,0,-,0.00000604,-,-,-,14.50377369,8,-,0
-,15:39.0,-,-,-,-,-,-,-0.25857377,-7.82425117,5.42047262,-0.01036423,-0.02903263,-0.02635818,-0.79757911,0.45254561,-,13.83463383,-,81,0,0,0,-,0.00000604,-,-,-,14.50377369,8,-,0
-,15:39.5,-,-,-,-,-,-,-0.2777274,-7.80509758,5.38216543,-0.01413399,-0.037097,-0.02928687,-0.7917217,0.44668823,-,13.83463383,-,81,0,0,0,-,0.00000604,-,-,-,14.50377369,10,-,0
-,15:40.0,-,-,-,-,-,-,-0.2777274,-7.80509758,5.34385824,-0.01634449,-0.03683209,-0.03123933,-0.79465038,0.44278333,-,13.83463383,-,81,0,0,0,-,0.00000604,-,-,-,14.50377369,11,-,0
-,15:40.5,-,-,-,-,-,-,-0.29688102,-7.81467438,5.34385824,-0.01547992,-0.03466957,-0.03123933,-0.79660285,0.44375956,-,13.83463383,-,81,0,0,0,-,0.00001218,-,-,-,14.50377369,12,-,0
-,15:41.0,-,-,-,-,-,-,-0.32561144,-7.80509758,5.34385824,-0.01618886,-0.03411896,-0.03123933,-0.79660285,0.4447358,-,13.83463383,-,81,0,0,0,-,0.00001218,-,-,-,14.50377369,12,-,0
-,15:41.5,-,-,-,-,-,-,-0.30645782,-7.81467438,5.32470465,-0.01654899,-0.0324631,-0.03123933,-0.79660285,0.44766447,-,13.83463383,-,81,0,0,0,-,0.00001691,-,-,-,14.50377369,13,-,0
-,15:42.0,-,-,-,-,-,-,-0.30645782,-7.81467438,5.35343504,-0.0148977,-0.03689349,-0.02928687,-0.79465038,0.44571203,-,13.83463383,-,81,0,0,0,-,0.00001691,-,-,-,14.50377369,14,-,0
-,15:42.5,-,-,-,-,-,-,-0.29688102,-7.81467438,5.35343504,-0.01492882,-0.03463747,-0.03221555,-0.79660285,0.44571203,-,13.83463383,-,81,0,0,0,-,0.00001911,-,-,-,14.50377369,15,-,0
-,15:43.0,-,-,-,-,-,-,-0.30645782,-7.80509758,5.34385824,-0.01625407,-0.03547556,-0.03123933,-0.79562664,0.44375956,-,13.83463383,-,81,0,0,0,-,0.00002137,-,-,-,14.50377369,15,-,0
-,15:43.5,-,-,-,-,-,-,-0.29688102,-7.81467438,5.35343504,-0.01492882,-0.03437275,-0.03123933,-0.79562664,0.44571203,-,13.83463383,-,81,0,0,0,-,0.00002137,-,-,-,14.50377369,16,-,0
-,15:44.0,-,-,-,-,-,-,-0.31603462,-7.80509758,5.34385824,-0.016222,-0.0347007,-0.0302631,-0.79660285,0.44375956,-,13.83463383,-,81,0,0,0,-,0.00002381,-,-,-,14.50377369,17,-,0
-,15:44.6,-,-,-,-,-,-,-0.30645782,-7.81467438,5.35343504,-0.0148977,-0.03408688,-0.03221555,-0.79660285,0.4447358,-,13.83463383,-,81,0,0,0,-,0.00002599,-,-,-,14.50377369,17,-,0
-,15:45.0,-,-,-,-,-,-,-0.32561144,-7.82425117,5.33428144,-0.01512808,-0.03379812,-0.03319179,-0.79757911,0.44375956,-,13.83463383,-,81,0,0,0,-,0.00002821,-,-,-,14.50377369,17,-,0
-,15:45.5,-,-,-,-,-,-,-0.30645782,-7.80509758,5.33428144,-0.01680493,-0.03919699,-0.03807293,-0.78879303,0.44668823,-,13.83463383,-,81,0,0,0,-,0.00002821,-,-,-,14.50377369,17,-,0
-,15:46.0,-,-,-,-,-,-,-0.37349546,-7.80509758,5.34385824,-0.01600862,-0.03581823,-0.0370967,-0.79562664,0.44278333,-,13.83463383,-,81,0,0,0,-,0.00003044,-,-,-,14.50377369,18,-,0
-,15:46.6,-,-,-,-,-,-,-0.37349546,-7.82425117,5.33428144,-0.01494807,-0.03446213,-0.0370967,-0.79660285,0.44375956,-,13.83463383,-,81,0,0,0,-,0.00003246,-,-,-,14.50377369,18,-,0
-,15:47.0,-,-,-,-,-,-,-0.41180268,-7.83382797,5.32470465,-0.01452887,-0.03578015,-0.03807293,-0.79562664,0.44278333,-,13.83463383,-,81,0,0,0,-,0.00003444,-,-,-,14.50377369,19,-,0
-,15:47.5,-,-,-,-,-,-,-0.40222588,-7.81467438,5.33428144,-0.01563388,-0.03455893,-0.04100162,-0.79562664,0.4447358,-,13.83463383,-,81,0,0,0,-,0.00003444,-,-,-,14.50377369,19,-,0
-,15:48.0,-,-,-,-,-,-,-0.40222588,-7.80509758,5.33428144,-0.01643932,-0.03646581,-0.04100162,-0.79465038,0.44278333,-,13.83463383,-,81,0,0,0,-,0.00003641,-,-,-,14.50377369,19,-,0
-,15:48.5,-,-,-,-,-,-,-0.41180268,-7.80509758,5.32470465,-0.01461369,-0.03319868,-0.04197785,-0.79855531,0.44278333,-,13.83463383,-,81,0,0,0,-,0.00003817,-,-,-,14.50377369,20,-,0
-,15:49.0,-,-,-,-,-,-,-0.4309563,-7.81467438,5.38216543,-0.01274765,-0.03349811,-0.04100162,-0.79757911,0.44375956,-,13.83463383,-,81,0,0,0,-,0.0000399,-,-,-,14.50377369,22,-,0
-,15:49.5,-,-,-,-,-,-,-0.4405331,-7.79552078,5.34385824,-0.01651937,-0.03260702,-0.04295408,-0.79855531,0.44375956,-,13.83463383,-,81,0,0,0,-,0.00004181,-,-,-,14.50377369,22,-,0
-,15:50.0,-,-,-,-,-,-,-0.5267244,-7.69017601,5.47793341,-0.01704222,-0.03231279,-0.04295408,-0.79757911,0.44571203,-,13.83463383,-,81,0,0,0,-,0.00004361,-,-,-,14.50377369,23,-,0
-,15:50.5,-,-,-,-,-,-,-0.45968673,-7.7476368,5.38216543,-0.01822388,-0.03438065,-0.05076391,-0.78781682,0.45547429,-,13.83463383,-,81,0,0,0,-,0.00004537,-,-,-,14.50377369,23,-,0
-,15:51.0,-,-,-,-,-,-,-0.4405331,-7.75721359,5.39174223,-0.01695967,-0.03443398,-0.05271636,-0.7917217,0.44961694,-,13.83463383,-,81,0,0,0,-,0.00004537,-,-,-,14.50377369,23,-,0
-,15:51.5,-,-,-,-,-,-,-0.45010993,-7.82425117,5.26724386,-0.01843721,-0.03625947,-0.04685899,-0.80050778,0.43399727,-,13.83463383,-,81,0,0,0,-,0.00004745,-,-,-,14.50377369,23,-,0
-,15:52.0,-,-,-,-,-,-,-0.35434186,-8.04451752,5.10443783,-0.00914556,-0.02541069,-0.03807293,-0.81905609,0.42618746,-,13.83463383,-,81,0,0,0,-,0.00004922,-,-,-,14.50377369,23,-,0
-,15:52.5,-,-,-,-,-,-,-0.24899697,-8.18816948,4.96078587,-0.00475883,-0.02342534,-0.02538195,-0.83467573,0.40568662,-,13.83463383,-,81,0,0,0,-,0.00005137,-,-,-,14.50377369,23,-,0
-,15:53.0,-,-,-,-,-,-,-0.34476504,-8.06367111,5.18105268,-0.00333655,-0.03028426,-0.03612047,-0.81710362,0.42813993,-,13.83463383,-,81,0,0,0,-,0.00005137,-,-,-,14.50377369,22,-,0
-,15:53.5,-,-,-,-,-,-,-0.37349546,-7.93917274,5.10443783,-0.01811403,-0.03398765,-0.0370967,-0.81515121,0.41642514,-,13.83463383,-,81,0,0,0,-,0.00005372,-,-,-,14.50377369,22,-,0
-,15:54.0,-,-,-,-,-,-,-0.35434186,-7.95832634,5.16189909,-0.01811403,-0.03678507,-0.03807293,-0.80929381,0.42033005,-,13.83463383,-,81,0,0,0,-,0.00005565,-,-,-,14.50377369,21,-,0
-,15:54.5,-,-,-,-,-,-,-0.34476504,-7.98705673,5.09486103,-0.01464379,-0.03235615,-0.03416802,-0.81222248,0.42423496,-,13.83463383,-,81,0,0,0,-,0.00005764,-,-,-,14.50377369,21,-,0
-,15:55.0,-,-,-,-,-,-,-0.33518824,-7.95832634,5.10443783,-0.01661867,-0.03316367,-0.03904916,-0.81417495,0.41935381,-,13.83463383,-,81,0,0,0,-,0.00005764,-,-,-,14.50377369,20,-,0
-,15:55.5,-,-,-,-,-,-,-0.36391866,-7.95832634,5.08528423,-0.01756239,-0.03390571,-0.03514424,-0.81222248,0.42130628,-,13.83463383,-,81,0,0,0,-,0.00006012,-,-,-,14.50377369,20,-,0
-,15:56.7,-,-,-,-,-,-,-0.37349546,-7.95832634,5.09486103,-0.01699871,-0.03484742,-0.03807293,-0.81222248,0.41935381,-,13.83463383,-,81,0,0,0,-,0.00006206,-,-,-,14.50377369,20,-,0
-,15:56.7,-,-,-,-,-,-,-0.34476504,-7.95832634,5.11401463,-0.01605654,-0.03484742,-0.03807293,-0.81222248,0.41935381,-,13.83463383,-,81,0,0,0,-,0.00006206,-,-,-,14.50377369,20,-,0
-,15:57.0,-,-,-,-,-,-,-0.40222588,-7.96790314,5.08528423,-0.01658213,-0.03050753,-0.03807293,-0.81612742,0.42130628,-,13.83463383,-,81,0,0,0,-,0.00006206,-,-,-,14.50377369,21,-,0
-,15:57.5,-,-,-,-,-,-,-0.36391866,-7.92959595,5.09486103,-0.0195002,-0.0381717,-0.0370967,-0.8083176,0.41935381,-,13.83463383,-,81,0,0,0,-,0.0000662,-,-,-,14.50377369,21,-,0
-,15:58.0,-,-,-,-,-,-,-0.2681506,-7.88171196,5.14274502,-0.02127111,-0.0399432,-0.02733441,-0.80343646,0.42423496,-,13.83463383,-,81,0,0,0,-,0.00006789,-,-,-,14.50377369,21,-,0
-,15:58.5,-,-,-,-,-,-,-0.36391866,-7.94874954,5.09486103,-0.01785821,-0.03652916,-0.0370967,-0.81027007,0.41935381,-,13.83463383,-,81,0,0,0,-,0.00006974,-,-,-,14.50377369,21,-,0
-,15:59.0,-,-,-,-,-,-,-0.36391866,-8.00621033,5.15232229,-0.00977039,-0.02843859,-0.0370967,-0.81612742,0.42521122,-,13.83463383,-,81,0,0,0,-,0.00007177,-,-,-,14.50377369,21,-,0
-,15:59.5,-,-,-,-,-,-,-0.42137951,-8.00621033,5.09486103,-0.01268321,-0.03760224,-0.04490653,-0.8073414,0.42130628,-,13.83463383,-,81,0,0,0,-,0.00007362,-,-,-,14.50377369,22,-,0
-,16:00.1,-,-,-,-,-,-,-0.40222588,-7.95832634,5.09486103,-0.0168786,-0.03543552,-0.04197785,-0.81319875,0.41642514,-,13.83463383,-,81,0,0,0,-,0.00007362,-,-,-,14.50377369,22,-,0
-,16:00.5,-,-,-,-,-,-,-0.4405331,-7.96790314,5.07570744,-0.01693249,-0.03420141,-0.04100162,-0.81222248,0.42033005,-,13.83463383,-,81,0,0,0,-,0.00007565,-,-,-,14.50377369,22,-,0
-,16:01.0,-,-,-,-,-,-,-0.41180268,-7.96790314,5.09486103,-0.01601505,-0.03516762,-0.04295408,-0.81222248,0.41837758,-,13.83463383,-,81,0,0,0,-,0.00007789,-,-,-,14.50377369,23,-,0
-,16:01.5,-,-,-,-,-,-,-0.39264908,-7.92959595,5.10443783,-0.01885515,-0.03235468,-0.0439303,-0.81612742,0.41740134,-,13.83463383,-,81,0,0,0,-,0.00007789,-,-,-,14.50377369,23,-,0
-,16:02.0,-,-,-,-,-,-,-0.4309563,-7.97747993,5.10443783,-0.01458114,-0.03434509,-0.04295408,-0.81319875,0.41837758,-,13.83463383,-,81,0,0,0,-,0.00007995,-,-,-,14.50377369,23,-,0
-,16:02.5,-,-,-,-,-,-,-0.4405331,-7.98705673,5.11401463,-0.01318926,-0.03464241,-0.04295408,-0.81222248,0.41935381,-,13.83463383,-,81,0,0,0,-,0.00008192,-,-,-,14.50377369,24,-,0
-,16:03.0,-,-,-,-,-,-,-0.4405331,-7.96790314,5.07570744,-0.01693249,-0.03239854,-0.04295408,-0.81612742,0.41740134,-,13.83463383,-,81,0,0,0,-,0.00008429,-,-,-,14.50377369,24,-,0
-,16:03.5,-,-,-,-,-,-,-0.45010993,-7.92001915,5.12359142,-0.01835555,-0.03702668,-0.04588277,-0.8073414,0.42228249,-,13.83463383,-,81,0,0,0,-,0.00008429,-,-,-,14.50377369,25,-,0
-,16:04.0,-,-,-,-,-,-,-0.45968673,-7.88171196,5.19062948,-0.01784384,-0.03651481,-0.04685899,-0.80343646,0.42911613,-,13.83463383,-,81,0,0,0,-,0.00008603,-,-,-,14.50377369,25,-,0
-,16:04.5,-,-,-,-,-,-,-0.45010993,-7.92001915,5.15232229,-0.01676345,-0.03543404,-0.04588277,-0.8073414,0.42521122,-,13.83463383,-,81,0,0,0,-,0.00008784,-,-,-,14.50377369,26,-,0
-,16:05.0,-,-,-,-,-,-,-0.10534488,-8.34139919,4.67348194,-0.00628239,-0.02576453,-0.01366721,-0.84931916,0.37639979,-,13.83463383,-,81,0,0,0,-,0.00008995,-,-,-,14.50377369,27,-,0
-,16:05.5,-,-,-,-,-,-,-0.36391866,-8.01578712,5.06613064,-0.01366889,-0.03233841,-0.0370967,-0.81710362,0.41642514,-,13.83463383,-,81,0,0,0,-,0.00009217,-,-,-,14.50377369,27,-,0
-,16:06.0,-,-,-,-,-,-,-0.5267244,-7.91044235,5.21935987,-0.01343638,-0.03210586,-0.0536926,-0.80636513,0.43204483,-,13.83463383,-,81,0,0,0,-,0.00009217,-,-,-,14.50377369,27,-,0
-,16:06.5,-,-,-,-,-,-,-0.36391866,-8.13070869,4.94163227,-0.01040012,-0.03166651,-0.03807293,-0.82393724,0.40666285,-,13.83463383,-,81,0,0,0,-,0.00009396,-,-,-,14.50377369,28,-,0
-,16:07.0,-,-,-,-,-,-,-0.35434186,-8.05409431,5.02782345,-0.01247704,-0.03700142,-0.04197785,-0.81319875,0.41349643,-,13.83463383,-,81,0,0,0,-,0.00009598,-,-,-,14.50377369,28,-,0
-,16:07.5,-,-,-,-,-,-,-0.33518824,-8.1019783,4.94163227,-0.01300758,-0.03167685,-0.03416802,-0.82588971,0.40373418,-,13.83463383,-,81,0,0,0,-,0.00009808,-,-,-,14.50377369,28,-,0
-,16:08.0,-,-,-,-,-,-,-0.34476504,-8.04451752,4.96078587,-0.01694238,-0.03433917,-0.03319179,-0.82100856,0.40666285,-,13.83463383,-,81,0,0,0,-,0.00009808,-,-,-,14.50377369,29,-,0
-,16:08.5,-,-,-,-,-,-,-0.35434186,-8.06367111,4.97036266,-0.01473355,-0.0344972,-0.03416802,-0.82198477,0.40666285,-,13.83463383,-,81,0,0,0,-,0.00010004,-,-,-,14.50377369,29,-,0
